source,conditionName,url,alternativeName,overviewFile,treatmentFile,recoveryFile,,
NHS,"AAA, see Abdominal aortic aneurysm",https://www.nhs.uk/conditions/abdominal-aortic-aneurysm/,Abdominal aortic aneurysm,"AAA, see Abdominal aortic aneurysm_overview.html","AAA, see Abdominal aortic aneurysm_treatment.html",https://www.nhs.uk/conditions/abdominal-aortic-aneurysm/treatment/,,
NHS,"AAA screening, see Abdominal aortic aneurysm screening",https://www.nhs.uk/conditions/abdominal-aortic-aneurysm-screening/,Abdominal aortic aneurysm screening,"AAA screening, see Abdominal aortic aneurysm screening_overview.html",,,,
NHS,Abdominal aortic aneurysm,https://www.nhs.uk/conditions/abdominal-aortic-aneurysm/,Abdominal aortic aneurysm,Abdominal aortic aneurysm_overview.html,Abdominal aortic aneurysm_treatment.html,https://www.nhs.uk/conditions/abdominal-aortic-aneurysm/treatment/,,
NHS,Abdominal aortic aneurysm screening,https://www.nhs.uk/conditions/abdominal-aortic-aneurysm-screening/,Abdominal aortic aneurysm screening,Abdominal aortic aneurysm screening_overview.html,,,,
NHS,Abortion,https://www.nhs.uk/conditions/abortion/,Abortion,Abortion_overview.html,,,,
NHS,Abscess,https://www.nhs.uk/conditions/abscess/,Abscess,Abscess_overview.html,Abscess_treatment.html,https://www.nhs.uk/conditions/abscess/treatment/,,
NHS,Acanthosis nigricans,https://www.nhs.uk/conditions/acanthosis-nigricans/,Acanthosis nigricans,Acanthosis nigricans_overview.html,,,,
NHS,Achalasia,https://www.nhs.uk/conditions/achalasia/,Achalasia,Achalasia_overview.html,,,,
NHS,Acid and chemical burns,https://www.nhs.uk/conditions/acid-and-chemical-burns/,Acid and chemical burns,Acid and chemical burns_overview.html,,,,
NHS,"Acid reflux in babies, see Reflux in babies",https://www.nhs.uk/conditions/reflux-in-babies/,Reflux in babies,"Acid reflux in babies, see Reflux in babies_overview.html",,,,
NHS,Acne,https://www.nhs.uk/conditions/acne/,Acne,Acne_overview.html,Acne_treatment.html,https://www.nhs.uk/conditions/acne/treatment/,,
NHS,Acoustic neuroma (vestibular schwannoma),https://www.nhs.uk/conditions/acoustic-neuroma/,Acoustic neuroma (vestibular schwannoma),Acoustic neuroma (vestibular schwannoma)_overview.html,,,,
NHS,Acromegaly,https://www.nhs.uk/conditions/acromegaly/,Acromegaly,Acromegaly_overview.html,,,,
NHS,Actinic keratoses (solar keratoses),https://www.nhs.uk/conditions/actinic-keratoses/,Actinic keratoses (solar keratoses),Actinic keratoses (solar keratoses)_overview.html,,,,
NHS,Actinomycosis,https://www.nhs.uk/conditions/actinomycosis/,Actinomycosis,Actinomycosis_overview.html,,,,
NHS,Acupuncture,https://www.nhs.uk/conditions/acupuncture/,Acupuncture,Acupuncture_overview.html,,,,
NHS,Acute cholecystitis,https://www.nhs.uk/conditions/acute-cholecystitis/,Acute cholecystitis,Acute cholecystitis_overview.html,,,,
NHS,Acute kidney injury,https://www.nhs.uk/conditions/acute-kidney-injury/,Acute kidney injury,Acute kidney injury_overview.html,,,,
NHS,Acute lymphoblastic leukaemia,https://www.nhs.uk/conditions/acute-lymphoblastic-leukaemia/,Acute lymphoblastic leukaemia,Acute lymphoblastic leukaemia_overview.html,Acute lymphoblastic leukaemia_treatment.html,https://www.nhs.uk/conditions/acute-lymphoblastic-leukaemia/treatment/,,
