snomedConcept,snomedDesConcept,snomedDesIdentifier,snomedIdentifier,CES,evaluationAnswers
Self-care interventions (procedure),Training to manage personal hygiene (procedure),718630007,384758001,NO EFFECT,0
Fetal anatomy study (procedure),Fetal anatomy study (procedure),271442007,271442007,NO EFFECT,0
Antibody screen (procedure),Antenatal screening for isoimmunization (procedure),717802007,120646007,NO EFFECT,0
Smokes tobacco daily (finding),Smokes tobacco daily (finding),449868002,449868002,NO EFFECT,0
Auscultation (procedure),Auscultation of lower respiratory tract (procedure),449264008,37931006,NO EFFECT,0
Laceration of forearm (disorder),Laceration of muscle of left forearm (disorder),11773171000119100,283371005,NO EFFECT,0
Lifestyle education (procedure),Lifestyle adjustment training (procedure),715756009,313204009,NO EFFECT,0
Suicide risk assessment (procedure),Suicide risk assessment (procedure),225337009,225337009,NO EFFECT,0
Facial laceration (disorder),Laceration of left eyebrow (disorder),16527081000119105,370247008,NO EFFECT,0
Intravenous blood transfusion of packed cells (procedure),Intravenous blood transfusion of packed cells (procedure),180207008,180207008,NO EFFECT,0
Detection of chromosomal aneuploidy in prenatal amniotic fluid specimen using fluorescence in situ hybridization screening technique (procedure),Detection of chromosomal aneuploidy in prenatal amniotic fluid specimen using fluorescence in situ hybridization screening technique (procedure),443529005,443529005,NO EFFECT,0
Medication Reconciliation (procedure),Medication Reconciliation (procedure),430193006,430193006,NO EFFECT,0
Immunotherapy (procedure),Antineoplastic chemoimmunotherapy (regime/therapy),897713009,76334006,NO EFFECT,0
Insertion of subcutaneous contraceptive (procedure),Insertion of etonogestrel radiopaque contraceptive implant (procedure),698972004,169553002,NO EFFECT,0
Pregnancy detection examination (procedure),Sensitive pregnancy test (procedure),252161000,74036000,NO EFFECT,0
Respiratory therapy (procedure),Nocturnal dual pressure spontaneous ventilation support (regime/therapy),34291000175108,53950000,NO EFFECT,0
Collection of blood specimen for laboratory (procedure),Collection of blood via arterial catheter (procedure),699873000,82078001,NO EFFECT,0
Injection of tetanus antitoxin (procedure),Injection of tetanus antitoxin (procedure),384700001,384700001,NO EFFECT,0
Allergy screening test (procedure),Allergy screening test (procedure),395142003,395142003,NO EFFECT,0
Rupture of appendix (disorder),Ruptured suppurative appendicitis (disorder),95547004,47693006,NO EFFECT,0
Asthma follow-up (regime/therapy),Asthma follow-up (regime/therapy),394701000,394701000,NO EFFECT,0
Antigen assay (procedure),Measurement of Hepatitis B antigen (procedure),726450005,121276004,NO EFFECT,0
Insertion of intrauterine contraceptive device (procedure),Insertion of hormone releasing intrauterine contraceptive device (procedure),472837007,65200003,NO EFFECT,0
Laceration of hand (disorder),Laceration of left superficial palmar arch (disorder),11830601000119109,284549007,NO EFFECT,0
Intravenous injection (procedure),Intravenous injection of Methotrexate (procedure),309700001,43060002,NO EFFECT,0
Administrative procedure,Hospital admission from dialysis facility (procedure),432621000124105,14734007,NO EFFECT,0
Glucose tolerance test (procedure),"Glucose tolerance test, antenatal (procedure)",699731004,113076002,NO EFFECT,0
Asthma management (regime/therapy),Asthma self management (regime/therapy),699728000,406162001,NO EFFECT,0
Outpatient procedure (procedure),Management of outpatient discharge (procedure),718676006,371883000,NO EFFECT,0
Human epidermal growth factor receptor 2 gene detection by immunohistochemistry (procedure),Human epidermal growth factor receptor 2 gene detection by immunohistochemistry (procedure),433114000,433114000,NO EFFECT,0
Ultrasound scan of upper abdomen (procedure),"Ultrasonography of abdomen, right upper quadrant and epigastrium (procedure)",426701000119108,418398002,NO EFFECT,0
Methotrexate injection into tubal pregnancy (procedure),Methotrexate injection into tubal pregnancy (procedure),236931002,236931002,NO EFFECT,0
Body mass index 40+ - severely obese (finding),Body mass index 40+ - severely obese (finding),408512008,408512008,NO EFFECT,0
History of appendectomy (situation),History of appendectomy (situation),428251008,428251008,NO EFFECT,0
Syphilis infectious titer test (procedure),Syphilis infectious titer test (procedure),269828009,269828009,NO EFFECT,0
Inpatient stay 3 days (finding),Inpatient stay 3 days (finding),183801001,183801001,NO EFFECT,0
Removal of intrauterine device (procedure),Removal of intrauterine contraceptive device using fluoroscopic guidance (procedure),718856002,68254000,NO EFFECT,0
Urine protein test,Measurement of fractional excretion of amylase using urine specimen and serum or plasma specimen (procedure),447317003,57378007,NO EFFECT,0
Postnatal visit (regime/therapy),Postnatal - tenth day visit (regime/therapy),169772000,169762003,NO EFFECT,0
"Psychiatric procedure, interview AND/OR consultation (procedure)",Section examination - social worker (procedure),171426001,108311000,NO EFFECT,0
Sweat test (procedure),Sweat conductivity (procedure),391293006,168172001,NO EFFECT,0
Bullet wound (disorder),Bullet wound (disorder),262574004,262574004,NO EFFECT,0
Environment (environment),Transitional housing (environment),25911000087103,276339004,NO EFFECT,0
Bone density scan (procedure),Bone density scan (procedure),312681000,312681000,NO EFFECT,0
Fracture care (regime/therapy),Fracture care (regime/therapy),385691007,385691007,NO EFFECT,0
Computed tomography of chest and abdomen (procedure),Computed tomography angiography of thorax and abdomen and pelvis with contrast (procedure),16462121000119108,418891003,NO EFFECT,0
Surveillance (regime/therapy),Antihypertensive agent surveillance (regime/therapy),50161000119104,225419007,NO EFFECT,0
Intravenous infusion (procedure),Intravenous radionuclide therapy using radium 223 dichloride (procedure),16554931000119102,14152002,NO EFFECT,0
Surgical manipulation of shoulder joint (procedure),Surgical manipulation of shoulder joint (procedure),387685009,387685009,NO EFFECT,0
Agreeing on diabetes care plan (procedure),Agreeing on diabetes care plan (procedure),703040004,703040004,NO EFFECT,0
