fileName,source,conditionName,type,url,alternativeName,altNames
MAYO_ACL injury_overview.json,MAYO,ACL injury,overview.json,https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738,,
MAYO_ACL injury_treatment.json,MAYO,ACL injury,treatment.json,https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738,,
MAYO_ARDS_overview.json,MAYO,ARDS,overview.json,https://www.mayoclinic.org/diseases-conditions/ards/symptoms-causes/syc-20355576,Acute respiratory distress syndrome,
MAYO_ARDS_treatment.json,MAYO,ARDS,treatment.json,https://www.mayoclinic.org/diseases-conditions/ards/symptoms-causes/syc-20355576,Acute respiratory distress syndrome,
MAYO_Abdominal aortic aneurysm_overview.json,MAYO,Abdominal aortic aneurysm,overview.json,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688,,
MAYO_Abdominal aortic aneurysm_treatment.json,MAYO,Abdominal aortic aneurysm,treatment.json,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688,,
NHS_Abdominal aortic aneurysm_treatment.json,NHS,Abdominal aortic aneurysm,treatment.json,https://www.nhs.uk/conditions/abdominal-aortic-aneurysm/,,"AAA,Aneurysm (abdominal aortic)"
NHS_Abdominal aortic aneurysm_overview.json,NHS,Abdominal aortic aneurysm,overview.json,https://www.nhs.uk/conditions/abdominal-aortic-aneurysm/,,"AAA,Aneurysm (abdominal aortic)"
NHS_Abdominal aortic aneurysm screening_overview.json,NHS,Abdominal aortic aneurysm screening,overview.json,https://www.nhs.uk/conditions/abdominal-aortic-aneurysm-screening/,,AAA screening
NHS_Abortion_overview.json,NHS,Abortion,overview.json,https://www.nhs.uk/conditions/abortion/,,
NHS_Abscess_overview.json,NHS,Abscess,overview.json,https://www.nhs.uk/conditions/abscess/,,
NHS_Abscess_treatment.json,NHS,Abscess,treatment.json,https://www.nhs.uk/conditions/abscess/,,
MAYO_Absence seizure_treatment.json,MAYO,Absence seizure,treatment.json,https://www.mayoclinic.org/diseases-conditions/petit-mal-seizure/symptoms-causes/syc-20359683,,
MAYO_Absence seizure_overview.json,MAYO,Absence seizure,overview.json,https://www.mayoclinic.org/diseases-conditions/petit-mal-seizure/symptoms-causes/syc-20359683,,
MAYO_Acanthosis nigricans_treatment.json,MAYO,Acanthosis nigricans,treatment.json,https://www.mayoclinic.org/diseases-conditions/acanthosis-nigricans/symptoms-causes/syc-20368983,,
MAYO_Acanthosis nigricans_overview.json,MAYO,Acanthosis nigricans,overview.json,https://www.mayoclinic.org/diseases-conditions/acanthosis-nigricans/symptoms-causes/syc-20368983,,
NHS_Acanthosis nigricans_overview.json,NHS,Acanthosis nigricans,overview.json,https://www.nhs.uk/conditions/acanthosis-nigricans/,,
MAYO_Achalasia_overview.json,MAYO,Achalasia,overview.json,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850,,
