snomedConcept,snomedIdentifier,conditionName,predictedTag,confidence,sentence,source,support CNL1L2L3,support L1L2L3
Pain of knee region (finding),1003722009,Knee pain,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.021739130434782605,"Although study results have been mixed about the effectiveness of this treatment, relief from one or a series of shots may last as long as six months.",MAYO,0.00019327406262079628,0.00889060688055663
Allergy to Hevea brasiliensis latex protein (finding),1003755004,Latex allergy,PERMANENT,0.001152073732718894,"Although medications are available to reduce the symptoms of latex allergy, there is no cure.",MAYO,0.00019327406262079628,0.16776188635485118
Metatarsalgia (finding),10085004,Metatarsalgia,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,"Although generally not serious, metatarsalgia can sideline you.",MAYO,0.00019327406262079628,0.18650947042906849
Infection caused by Schistosoma (disorder),10087007,Schistosomiasis (bilharzia),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0075187969924812035,"You often don't have any symptoms when you first become infected with schistosomiasis, but the parasite can remain in the body for many years and cause damage to organs such as the bladder, kidneys and liver.",NHS,0.00038654812524159255,0.05141090065713181
Growing pains (finding),102482005,Growing pains,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0075187969924812035,Growing pains often get better on their own within a year or two.,MAYO,0.00038654812524159255,0.05141090065713181
Cyclospora (organism),103560006,Cyclospora,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.04347826086956521,"If cyclospora isn't treated, the illness may last from a few days to a month or longer.",NHS,0.00019327406262079628,0.004445303440278315
Acute bronchitis (disorder),10509002,Acute bronchitis,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,,It lasts up to 3 weeks.,NHS,,
Blindness AND/OR vision impairment level (disorder),105597003,Blindness and vision loss,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0051813471502590676,"If you're blind or partially sighted, you may be referred to a specialist low-vision clinic, which is often located within a hospital",NHS,0.0009663703131039817,0.18650947042906849
Fibrous dysplasia of bone (disorder),10623005,Fibrous dysplasia,PERMANENT,0.001152073732718894,There's no cure for the disorder.,MAYO,0.00019327406262079628,0.16776188635485118
Family Talpidae (organism),106925002,Moles,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925572,These changes can happen over weeks or months.,NHS,0.00038654812524159255,0.11944337069965212
Irritable bowel syndrome (disorder),10743008,Irritable bowel syndrome (IBS),IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.008264462809917356,"These tend to come and go over time, and can last for days, weeks or months at a time",NHS,0.00019327406262079628,0.02338616157711635
Arthritis of bilateral first carpometacarpal joints (disorder),1074781000119102,Thumb arthritis,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,"After surgery, you can expect to wear a cast or splint over your thumb and wrist for up to six weeks.",MAYO,0.00019327406262079628,0.11944337069965212
Dialysis procedure (procedure),108241001,Dialysis,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003759398496240601,"Someone who starts dialysis in their late 20s can expect to live for up to 20 years or longer, but adults over 75 may only survive for 2 to 3 years.",NHS,0.00019327406262079628,0.05141090065713181
Radiation oncology AND/OR radiotherapy (procedure),108290001,Radiotherapy,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.007246376811594203,"You can usually go home soon after external radiotherapy, but you may need to stay in hospital for a few days if you have implants or radioisotope therapy",NHS,0.00038654812524159255,0.053343641283339766
Dislocation of joint (disorder),108367008,Dislocation,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.002570694087403599,"When treated properly, most dislocations return to normal function after several weeks of rest and rehabilitation.",MAYO,0.00019327406262079628,0.07518361035948977
Sclerosing mesenteritis (disorder),1092381000119100,Sclerosing mesenteritis,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518132,But some people experience no signs and symptoms and may never need treatment.,MAYO,0.00019327406262079628,0.18650947042906849
"Mesothelioma (malignant, clinical disorder) (disorder)",109378008,Mesothelioma,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0075187969924812035,"It usually takes a while for this to cause any obvious problems, with mesothelioma typically developing more than 20 years after exposure to asbestos.",NHS,0.00038654812524159255,0.05141090065713181
Kaposi's sarcoma (disorder),109385007,Kaposi's sarcoma,DECLINE SLOWLY FROM 6 MONTH TO 1 YEAR,0.08333333333333333,"Known as classic Kaposi's sarcoma, this cancer progresses slowly and typically causes few serious problems.",MAYO,0.00019327406262079628,0.0023192887514495554
Complete avulsion of tooth (disorder),109671008,Knocked-out tooth,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462786,You'll probably need to go back after a couple of weeks to have the splint removed.,NHS,0.00019327406262079628,0.11944337069965212
Multiple myeloma (disorder),109989006,Multiple myeloma,PERMANENT,0.00576036866359447,Treatment for multiple myeloma can often help to control symptoms and improve quality of life,NHS,0.0009663703131039817,0.16776188635485118
