snomedIdentifier,snomedConcept,CES,evaluationAnswers,confidence
1003722009,Pain of knee region (finding),IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,3,0.0217391304347826
1003722009,Pain of knee region (finding),IMPROVE FAST FROM 1 DAY TO 1 WEEK,3,0.0072463768115942
1003722009,Pain of knee region (finding),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,3,0.0010362694300518
1003755004,Allergy to Hevea brasiliensis latex protein (finding),PERMANENT,3,0.0011520737327188
10085004,Metatarsalgia (finding),IMPROVE SLOWLY FROM 2 MINUTES TO 3 MINUTE,0,
10085004,Metatarsalgia (finding),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,4,0.0010362694300518
10087007,Infection caused by Schistosoma (disorder),PERMANENT,0,
10087007,Infection caused by Schistosoma (disorder),IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,2,0.0016181229773462
10087007,Infection caused by Schistosoma (disorder),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,4,0.0075187969924812
102482005,Growing pains (finding),DECLINE FAST FROM 2 MINUTES TO 23 MINUTE,0,
102482005,Growing pains (finding),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,4,0.0075187969924812
103560006,Cyclospora (organism),IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,1,0.0434782608695652
105597003,Blindness AND/OR vision impairment level (disorder),NONE,0,
105597003,Blindness AND/OR vision impairment level (disorder),IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,2,0.0016181229773462
105597003,Blindness AND/OR vision impairment level (disorder),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,5,0.005181347150259
10623005,Fibrous dysplasia of bone (disorder),IMPROVE MODERATELY FROM 3 MINUTES TO 4 MINUTE,0,
10623005,Fibrous dysplasia of bone (disorder),PERMANENT,2,0.0011520737327188
106925002,Family Talpidae (organism),IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,5,0.0032362459546925
10743008,Irritable bowel syndrome (disorder),IMPROVE SLOWLY FROM 5 WEEKS TO 6 MONTH,0,
10743008,Irritable bowel syndrome (disorder),PERMANENT,2,0.0023041474654377
10743008,Irritable bowel syndrome (disorder),IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,4,0.0082644628099173
1074781000119102,Arthritis of bilateral first carpometacarpal joints (disorder),IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,3,0.0016181229773462
108241001,Dialysis procedure (procedure),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,3,0.0037593984962406
108241001,Dialysis procedure (procedure),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,3,0.0020725388601036
108290001,Radiation oncology AND/OR radiotherapy (procedure),IMPROVE SLOWLY FROM 2 WEEKS TO 2 MONTH,0,
108290001,Radiation oncology AND/OR radiotherapy (procedure),IMPROVE FAST FROM 1 DAY TO 1 WEEK,1,0.0072463768115942
108290001,Radiation oncology AND/OR radiotherapy (procedure),IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,2,0.0025706940874035
108290001,Radiation oncology AND/OR radiotherapy (procedure),PERMANENT,3,0.0011520737327188
108367008,Dislocation of joint (disorder),IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,1,0.0025706940874035
108367008,Dislocation of joint (disorder),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,2,0.0010362694300518
1092381000119100,Sclerosing mesenteritis (disorder),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,2,0.0010362694300518
109378008,"Mesothelioma (malignant, clinical disorder) (disorder)",IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,1,0.0075187969924812
109378008,"Mesothelioma (malignant, clinical disorder) (disorder)",IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,1,0.0075187969924812
109378008,"Mesothelioma (malignant, clinical disorder) (disorder)",IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,1,0.006578947368421
109378008,"Mesothelioma (malignant, clinical disorder) (disorder)",IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,1,0.006578947368421
109378008,"Mesothelioma (malignant, clinical disorder) (disorder)",PERMANENT,2,0.0057603686635944
109378008,"Mesothelioma (malignant, clinical disorder) (disorder)",PERMANENT,2,0.0057603686635944
109378008,"Mesothelioma (malignant, clinical disorder) (disorder)",DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,2,0.003690036900369
109378008,"Mesothelioma (malignant, clinical disorder) (disorder)",DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,2,0.003690036900369
109385007,Kaposi's sarcoma (disorder),DECLINE SLOWLY FROM 6 MONTH TO 1 YEAR,1,0.0833333333333333
109385007,Kaposi's sarcoma (disorder),DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,1,0.007380073800738
109385007,Kaposi's sarcoma (disorder),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,2,0.0037593984962406
109385007,Kaposi's sarcoma (disorder),IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,2,0.0025706940874035
109385007,Kaposi's sarcoma (disorder),PERMANENT,2,0.0011520737327188
109671008,Complete avulsion of tooth (disorder),IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,2,0.0016181229773462
109989006,Multiple myeloma (disorder),IMPROVE FAST FROM 3 DAYS TO 3 WEEK,0,
109989006,Multiple myeloma (disorder),PERMANENT,1,0.0057603686635944
109989006,Multiple myeloma (disorder),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,1,0.0031088082901554
