snomedConcept,snomedIdentifier,conditionName,predictedTag,confidence,sentence,source,support CNL1L2L3,support L1L2L3,L1,L2,L3,evaluationAnswers,userConfidence
Color blindness (disorder),193683001,Color blindness,PERMANENT,0.0011520737327188,"There's no cure for inherited color deficiencies, but if illness or eye disease is the cause, treatment may improve color vision.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,1,3
Tuberous sclerosis syndrome (disorder),7199000,Tuberous sclerosis,PERMANENT,0.0046082949308755,"Although there is no cure for tuberous sclerosis, treatment can help manage specific symptoms.",MAYO,0.0007730962504831,0.1677618863548511,PERMANENT,,,5,3
Radiographic imaging procedure (procedure),363680008,X-ray,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,The procedure will usually only take a few minutes.,NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,5,3
22q11.2 deletion syndrome (disorder),767263007,DiGeorge syndrome (22q11 deletion),PERMANENT,0.0011520737327188,There's currently no cure for DiGeorge syndrome,NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,,5,3
Oligodendroglioma (disorder),443936004,Oligodendroglioma,PERMANENT,0.0011520737327188,No alternative treatments have been proved to cure gliomas.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,,1,3
Verruca vulgaris (disorder),57019003,Warts and verrucas,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,"These treatments can take up to 3 months to complete, may irritate your skin and do not always work",NHS,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR,2,2
Electroencephalogram (procedure),54550000,Electroencephalogram (EEG),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.005181347150259,A routine EEG recording lasts for about 20 to 40 minutes.,NHS,0.0009663703131039,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY,5,3
Meningitis (disorder),7180009,Meningitis,DECLINE FAST FROM 1 DAY TO 1 WEEK,0.0555555555555555,Symptoms may develop over several hours or over a few days.,MAYO,0.0001932740626207,0.0034789331271743,DECLINE,FAST,FROM 1 DAY TO 1 WEEK,3,1
Nephrogenic systemic fibrosis (disorder),424114000,Nephrogenic systemic fibrosis,PERMANENT,0.0023041474654377,"There is no cure for nephrogenic systemic fibrosis, and no treatment is consistently successful in halting or reversing the progression of the disease.",MAYO,0.0003865481252415,0.1677618863548511,PERMANENT,,,3,1
Hyperparathyroidism (disorder),66999008,Hyperparathyroidism,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"But in most cases, the condition is mild to moderate and remains stable for years.",NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR,2,2
