conceptId,snomedConcept,snomedIdentifier,term
10001005,Sepsis caused by Pseudomonas (disorder),448813005,Bacterial sepsis (disorder)
10197000,Initial Psychiatric Interview with mental status evaluation,79094001,Psychiatric interview and evaluation (procedure)
102957003,Primary fibromyalgia syndrome (disorder),95417003,Neurological finding (finding)
102957003,Seizure disorder (disorder),128613002,Neurological finding (finding)
102957003,Chronic intractable migraine without aura (disorder),124171000119105,Neurological finding (finding)
102957003,Chronic pain (finding),82423001,Neurological finding (finding)
102957003,Eclampsia in pregnancy (disorder),198992004,Neurological finding (finding)
102957003,Epilepsy (disorder),84757009,Neurological finding (finding)
103693007,Diagnostic fiberoptic bronchoscopy (procedure),173160006,Diagnostic procedure (procedure)
103693007,Electroencephalogram (procedure),54550000,Diagnostic procedure (procedure)
104190003,Throat culture (procedure),117015009,Source specific culture (procedure)
104190003,Microbial culture of sputum (procedure),104173009,Source specific culture (procedure)
105597003,Blindness due to type 2 diabetes mellitus (disorder),60951000119105,Blindness AND/OR vision impairment level (disorder)
105606008,Injury of medial collateral ligament of knee (disorder),444448004,Injury of musculoskeletal system (disorder)
105606008,Fracture of clavicle (disorder),58150001,Injury of musculoskeletal system (disorder)
105606008,Fracture of forearm (disorder),65966004,Injury of musculoskeletal system (disorder)
105606008,Fracture of rib (disorder),33737001,Injury of musculoskeletal system (disorder)
105606008,Fracture subluxation of wrist (disorder),263102004,Injury of musculoskeletal system (disorder)
105606008,Sprain of ankle (disorder),44465007,Injury of musculoskeletal system (disorder)
105606008,Closed fracture of hip (disorder),359817006,Injury of musculoskeletal system (disorder)
105606008,Sprain of wrist (disorder),70704007,Injury of musculoskeletal system (disorder)
105606008,Fracture of vertebral column with spinal cord injury (disorder),1734006,Injury of musculoskeletal system (disorder)
105606008,Injury of anterior cruciate ligament (disorder),444470001,Injury of musculoskeletal system (disorder)
105606008,Fracture of vertebral column without spinal cord injury (disorder),15724005,Injury of musculoskeletal system (disorder)
105606008,Pathological fracture due to osteoporosis (disorder),443165006,Injury of musculoskeletal system (disorder)
105606008,Fracture of ankle (disorder),16114001,Injury of musculoskeletal system (disorder)
105611005,Sprain of ankle (disorder),44465007,Sprain of ligament of joint (disorder)
105611005,Sprain of wrist (disorder),70704007,Sprain of ligament of joint (disorder)
105616000,Laceration of thigh,283385000,Open wound of limb (disorder)
105616000,Laceration of foot (disorder),284551006,Open wound of limb (disorder)
105616000,Laceration of hand,284549007,Open wound of limb (disorder)
105616000,Laceration of forearm,283371005,Open wound of limb (disorder)
105969002,Injury of tendon of the rotator cuff of shoulder (disorder),307731004,Disorder of connective tissue (disorder)
105969002,Injury of medial collateral ligament of knee (disorder),444448004,Disorder of connective tissue (disorder)
105969002,Rupture of patellar tendon (disorder),30832001,Disorder of connective tissue (disorder)
105969002,Tear of meniscus of knee (disorder),239720000,Disorder of connective tissue (disorder)
105969002,Injury of anterior cruciate ligament (disorder),444470001,Disorder of connective tissue (disorder)
105969002,Sprain of ankle (disorder),44465007,Disorder of connective tissue (disorder)
105969002,Sprain of wrist (disorder),70704007,Disorder of connective tissue (disorder)
105981003,Chronic congestive heart failure (disorder),88805009,Disorder of cardiac function (disorder)
105995000,Impacted molars (disorder),196416002,Disorder of teeth AND/OR supporting structures (disorder)
105997008,Gallbladder calculus (disorder),235919008,Disorder of biliary tract (disorder)
105997008,Acute cholecystitis (disorder),65275009,Disorder of biliary tract (disorder)
106005003,Pre-eclampsia (disorder),398254007,Hypertension AND/OR vomiting complicating pregnancy childbirth AND/OR puerperium (disorder)
106028002,Fracture of ankle (disorder),16114001,Musculoskeletal finding (finding)
106028002,Injury of tendon of the rotator cuff of shoulder (disorder),307731004,Musculoskeletal finding (finding)
106028002,Rupture of patellar tendon (disorder),30832001,Musculoskeletal finding (finding)
106028002,Fracture of rib (disorder),33737001,Musculoskeletal finding (finding)
106028002,Closed fracture of hip (disorder),359817006,Musculoskeletal finding (finding)
106028002,Osteoarthritis of knee (disorder),239873007,Musculoskeletal finding (finding)
106028002,Injury of anterior cruciate ligament (disorder),444470001,Musculoskeletal finding (finding)
106028002,Osteoporosis (disorder),64859006,Musculoskeletal finding (finding)
106028002,Osteoarthritis of hip (disorder),239872002,Musculoskeletal finding (finding)
106028002,Pathological fracture due to osteoporosis (disorder),443165006,Musculoskeletal finding (finding)
106028002,Fracture of vertebral column with spinal cord injury (disorder),1734006,Musculoskeletal finding (finding)
106028002,Fracture of vertebral column without spinal cord injury (disorder),15724005,Musculoskeletal finding (finding)
106028002,"Localized, primary osteoarthritis of the hand (disorder)",201834006,Musculoskeletal finding (finding)
106028002,Rheumatoid arthritis (disorder),69896004,Musculoskeletal finding (finding)
106028002,Sprain of wrist (disorder),70704007,Musculoskeletal finding (finding)
106028002,Fracture of forearm (disorder),65966004,Musculoskeletal finding (finding)
106028002,Primary fibromyalgia syndrome (disorder),95417003,Musculoskeletal finding (finding)
106028002,Fracture of clavicle (disorder),58150001,Musculoskeletal finding (finding)
106028002,Fracture subluxation of wrist (disorder),263102004,Musculoskeletal finding (finding)
106028002,Sprain of ankle (disorder),44465007,Musculoskeletal finding (finding)
106028002,Tear of meniscus of knee (disorder),239720000,Musculoskeletal finding (finding)
106028002,Injury of medial collateral ligament of knee (disorder),444448004,Musculoskeletal finding (finding)
106030000,Primary fibromyalgia syndrome (disorder),95417003,Muscle finding (finding)
106048009,Acute bacterial sinusitis (disorder),75498004,Respiratory finding (finding)
106048009,Pneumonia (disorder),233604007,Respiratory finding (finding)
106048009,Asthma (disorder),195967001,Respiratory finding (finding)
106048009,"Primary small cell malignant neoplasm of lung, TNM stage 1 (disorder)",67811000119102,Respiratory finding (finding)
106048009,Perennial allergic rhinitis with seasonal variation (disorder),232353008,Respiratory finding (finding)
106048009,Cystic fibrosis (disorder),190905008,Respiratory finding (finding)
106048009,Childhood asthma (disorder),233678006,Respiratory finding (finding)
106048009,Non-small cell lung cancer (disorder),254637007,Respiratory finding (finding)
106048009,Chronic obstructive bronchitis (disorder),185086009,Respiratory finding (finding)
106048009,Streptococcal sore throat (disorder),43878008,Respiratory finding (finding)
106048009,Pulmonary emphysema (disorder),87433001,Respiratory finding (finding)
106048009,"Non-small cell carcinoma of lung, TNM stage 1 (disorder)",424132000,Respiratory finding (finding)
106048009,Acute bronchitis (disorder),10509002,Respiratory finding (finding)
106048009,Small cell carcinoma of lung (disorder),254632001,Respiratory finding (finding)
106048009,Viral sinusitis (disorder),444814009,Respiratory finding (finding)
106048009,Acute viral pharyngitis (disorder),195662009,Respiratory finding (finding)
106048009,Seasonal allergic rhinitis (disorder),367498001,Respiratory finding (finding)
