conceptId,descendantCount,snomedConcept,snomedIdentifier,term
19550003,2.0,22q11.2 deletion syndrome (disorder),767263007,22q partial monosomy syndrome (disorder)
82354003,975.0,22q11.2 deletion syndrome (disorder),767263007,Multiple system malformation syndrome (disorder)
142121000119101,17.0,Abdominal aortic aneurysm (disorder),233985008,Abdominal aortic ectasia (disorder)
426948001,18.0,Abdominal aortic aneurysm (disorder),233985008,Aneurysm of descending aorta (disorder)
171226003,1.0,Abdominal aortic aneurysm screening (procedure),698356002,Aortic aneurysm screening (procedure)
21522001,112.0,Abdominal colic (finding),9991008,Abdominal pain (finding)
73063007,14.0,Abdominal colic (finding),9991008,Colicky pain (finding)
74506000,15.0,Abnormal grief reaction to life event (finding),225021007,Bereavement due to life event (finding)
64572001,78213.0,Abscess (disorder),128477000,Disease (disorder)
4147007,2177.0,Abscess (morphologic abnormality),44132006,Mass (morphologic abnormality)
81308009,3219.0,Abscess of brain (disorder),441806004,Disorder of brain (disorder)
312429005,54.0,Abscess of brain (disorder),441806004,Abscess of nervous system (disorder)
422840005,287.0,Abscess of brain (disorder),441806004,Mass lesion of brain (finding)
27614006,38.0,Abscess of brain (disorder),441806004,Intracranial abscess (disorder)
79604008,631.0,Abscess of breast (disorder),28432003,Disorder of breast (disorder)
89164003,331.0,Abscess of breast (disorder),28432003,Breast lump (finding)
76035004,34.0,Abscess of breast (disorder),28432003,Abscess of pectoral region (disorder)
4619009,25.0,Absence seizure (disorder),79631006,Generalized-onset seizures (disorder)
698247007,298.0,Accelerated atrioventricular conduction (disorder),16797001,Cardiac arrhythmia (disorder)
240140005,50.0,Acetabular labrum tear (disorder),202336002,Tear of fibrocartilage of joint (disorder)
363044007,952.0,Acetabular labrum tear (disorder),202336002,Connective tissue disorder by body site (disorder)
428097001,206.0,Acetabular labrum tear (disorder),202336002,Disorder of hip joint (disorder)
125600009,293.0,Acetabular labrum tear (disorder),202336002,Injury of hip region (disorder)
386617003,9378.0,Achalasia (finding),48531003,Digestive system finding (finding)
26696002,2.0,Acid chemical burn (morphologic abnormality),12944000,Chemical burn (morphologic abnormality)
249496004,8.0,Acid reflux (finding),698065002,Esophageal reflux finding (finding)
95324001,4301.0,Acne vulgaris (disorder),11381005,Skin lesion (disorder)
238714008,783.0,Acne vulgaris (disorder),11381005,Disorder of skin appendage (disorder)
254981002,3.0,Acoustic neuroma (disorder),126949007,Benign tumor of acoustic vestibular nerve (disorder)
404026003,3.0,Acoustic neuroma (disorder),126949007,Cellular schwannoma (disorder)
280135003,1248.0,Acquired deformity of finger due to trauma (disorder),64298006,Disorder of soft tissue of upper limb (disorder)
