att_type_id,att_type_term,att_value_id,att_value_term,group,snomedConcept,snomedIdentifier
363698007,Finding site (attribute),72696002,Knee region structure (body structure),0.0,Pain of knee region (finding),1003722009
719722006,Has realization (attribute),472964009,Allergic process (qualifier value),0.0,Allergy to Hevea brasiliensis latex protein (finding),1003755004
246075003,Causative agent (attribute),1003752001,Hevea brasiliensis latex protein (substance),0.0,Allergy to Hevea brasiliensis latex protein (finding),1003755004
363698007,Finding site (attribute),53884002,Metatarsal bone structure (body structure),0.0,Metatarsalgia (finding),10085004
370135005,Pathological process (attribute),442614005,Parasitic process (qualifier value),0.0,Infection caused by Schistosoma (disorder),10087007
246075003,Causative agent (attribute),53583001,Schistosoma (organism),0.0,Infection caused by Schistosoma (disorder),10087007
363698007,Finding site (attribute),66019005,Limb structure (body structure),0.0,Growing pains (finding),102482005
363698007,Finding site (attribute),955009,Bronchial structure (body structure),0.0,Acute bronchitis (disorder),10509002
116676008,Associated morphology (attribute),4532008,Acute inflammation (morphologic abnormality),0.0,Acute bronchitis (disorder),10509002
263502005,Clinical course (attribute),424124008,Sudden onset AND/OR short duration (qualifier value),1.0,Acute bronchitis (disorder),10509002
363698007,Finding site (attribute),49549006,Structure of visual system (body structure),0.0,Blindness AND/OR vision impairment level (disorder),105597003
246454002,Occurrence (attribute),255399007,Congenital (qualifier value),0.0,Fibrous dysplasia of bone (disorder),10623005
363698007,Finding site (attribute),272673000,Bone structure (body structure),0.0,Fibrous dysplasia of bone (disorder),10623005
116676008,Associated morphology (attribute),789439000,Fibrous dysplasia (morphologic abnormality),0.0,Fibrous dysplasia of bone (disorder),10623005
370135005,Pathological process (attribute),308490002,Pathological developmental process (qualifier value),0.0,Fibrous dysplasia of bone (disorder),10623005
363698007,Finding site (attribute),14742008,Structure of large intestine (body structure),0.0,Irritable bowel syndrome (disorder),10743008
363698007,Finding site (attribute),720470009,Structure of carpometacarpal joint of left thumb (body structure),0.0,Arthritis of bilateral first carpometacarpal joints (disorder),1074781000119102
116676008,Associated morphology (attribute),409774005,Inflammatory morphology (morphologic abnormality),0.0,Arthritis of bilateral first carpometacarpal joints (disorder),1074781000119102
363698007,Finding site (attribute),720471008,Structure of carpometacarpal joint of right thumb (body structure),1.0,Arthritis of bilateral first carpometacarpal joints (disorder),1074781000119102
116676008,Associated morphology (attribute),409774005,Inflammatory morphology (morphologic abnormality),1.0,Arthritis of bilateral first carpometacarpal joints (disorder),1074781000119102
260686004,Method (attribute),360166003,Filtration - action (qualifier value),0.0,Dialysis procedure (procedure),108241001
363703001,Has intent (attribute),262202000,Therapeutic intent (qualifier value),0.0,Radiation oncology AND/OR radiotherapy (procedure),108290001
424244007,Using energy (attribute),82107009,Radiation (physical force),0.0,Radiation oncology AND/OR radiotherapy (procedure),108290001
363698007,Finding site (attribute),39352004,Joint structure (body structure),0.0,Dislocation of joint (disorder),108367008
116676008,Associated morphology (attribute),87642003,Dislocation (morphologic abnormality),0.0,Dislocation of joint (disorder),108367008
363698007,Finding site (attribute),89679009,Mesentery structure (body structure),0.0,Sclerosing mesenteritis (disorder),1092381000119100
116676008,Associated morphology (attribute),43846000,Sclerosis (morphologic abnormality),0.0,Sclerosing mesenteritis (disorder),1092381000119100
363698007,Finding site (attribute),71400007,Mesothelium structure (body structure),0.0,"Mesothelioma (malignant, clinical disorder) (disorder)",109378008
116676008,Associated morphology (attribute),62064005,"Mesothelioma, malignant (morphologic abnormality)",0.0,"Mesothelioma (malignant, clinical disorder) (disorder)",109378008
116676008,Associated morphology (attribute),372147008,Kaposi's sarcoma - category (morphologic abnormality),0.0,Kaposi's sarcoma (disorder),109385007
363698007,Finding site (attribute),302214001,Entire tooth (body structure),0.0,Complete avulsion of tooth (disorder),109671008
116676008,Associated morphology (attribute),79782001,"Dislocation, complete (morphologic abnormality)",0.0,Complete avulsion of tooth (disorder),109671008
42752001,Due to (attribute),773760007,Traumatic event (event),1.0,Complete avulsion of tooth (disorder),109671008
116676008,Associated morphology (attribute),37782003,Damage (morphologic abnormality),2.0,Complete avulsion of tooth (disorder),109671008
116676008,Associated morphology (attribute),415109007,Plasma cell myeloma - category (morphologic abnormality),0.0,Multiple myeloma (disorder),109989006
363698007,Finding site (attribute),14016003,Bone marrow structure (body structure),0.0,Polycythemia vera (disorder),109992005
116676008,Associated morphology (attribute),128841001,Polycythemia vera (morphologic abnormality),0.0,Polycythemia vera (disorder),109992005
363714003,Interprets (attribute),61928009,Platelet count (procedure),0.0,Essential thrombocythemia (disorder),109994006
363713009,Has interpretation (attribute),281302008,Above reference range (qualifier value),0.0,Essential thrombocythemia (disorder),109994006
363714003,Interprets (attribute),74848003,Hemostatic function (observable entity),1.0,Essential thrombocythemia (disorder),109994006
363713009,Has interpretation (attribute),263654008,Abnormal (qualifier value),1.0,Essential thrombocythemia (disorder),109994006
116676008,Associated morphology (attribute),128844009,Essential thrombocythemia (morphologic abnormality),2.0,Essential thrombocythemia (disorder),109994006
116676008,Associated morphology (attribute),414644002,Malignant hematopoietic neoplasm (morphologic abnormality),3.0,Essential thrombocythemia (disorder),109994006
363698007,Finding site (attribute),14016003,Bone marrow structure (body structure),0.0,Myelodysplastic syndrome (disorder),109995007
116676008,Associated morphology (attribute),128623006,Myelodysplastic syndrome (morphologic abnormality),0.0,Myelodysplastic syndrome (disorder),109995007
42752001,Due to (attribute),773760007,Traumatic event (event),0.0,Concussion injury of brain (disorder),110030002
363698007,Finding site (attribute),12738006,Brain structure (body structure),1.0,Concussion injury of brain (disorder),110030002
116676008,Associated morphology (attribute),708539008,Concussive injury (morphologic abnormality),1.0,Concussion injury of brain (disorder),110030002
