snomedConcept,snomedIdentifier,descendantId,descendantConcept,query,propagation
Allergy to Hevea brasiliensis latex protein (finding),1003755004,1003755004,Allergy to Hevea brasiliensis latex protein (finding),"(*):  ([1..1]{719722006|Has realization (attribute)| = 472964009|Allergic process (qualifier value)|,246075003|Causative agent (attribute)| = 1003752001|Hevea brasiliensis latex protein (substance)|})&limit=7000",1
Infection caused by Schistosoma (disorder),10087007,866121005,Myelitis caused by Schistosoma (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 442614005|Parasitic process (qualifier value)|,246075003|Causative agent (attribute)| = 53583001|Schistosoma (organism)|})&limit=7000",23
Acute bronchitis (disorder),10509002,138389411000119105,Acute bronchitis caused by Severe acute respiratory syndrome coronavirus 2 (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<955009|Bronchial structure (body structure)|,116676008|Associated morphology (attribute)| = 4532008|Acute inflammation (morphologic abnormality)|} AND [1..1]{263502005|Clinical course (attribute)| = 424124008|Sudden onset AND/OR short duration (qualifier value)|})&limit=7000",29
Fibrous dysplasia of bone (disorder),10623005,307771000119103,Monostotic fibrous dysplasia of right femur (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<272673000|Bone structure (body structure)|,116676008|Associated morphology (attribute)| = 789439000|Fibrous dysplasia (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",14
Arthritis of bilateral first carpometacarpal joints (disorder),1074781000119102,1074781000119102,Arthritis of bilateral first carpometacarpal joints (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<720470009|Structure of carpometacarpal joint of left thumb (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<720471008|Structure of carpometacarpal joint of right thumb (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|})&limit=7000",1
Radiation oncology AND/OR radiotherapy (procedure),108290001,16560241000119104,Oral radionuclide therapy (procedure),"(*):  ([1..1]{363703001|Has intent (attribute)| = 262202000|Therapeutic intent (qualifier value)|,424244007|Using energy (attribute)| = 82107009|Radiation (physical force)|})&limit=7000",341
Dislocation of joint (disorder),108367008,10836111000119108,Dislocation of symphysis pubis in labor and delivery (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39352004|Joint structure (body structure)|,116676008|Associated morphology (attribute)| = 87642003|Dislocation (morphologic abnormality)|})&limit=7000",258
Sclerosing mesenteritis (disorder),1092381000119100,1092381000119100,Sclerosing mesenteritis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<89679009|Mesentery structure (body structure)|,116676008|Associated morphology (attribute)| = 43846000|Sclerosis (morphologic abnormality)|})&limit=7000",1
"Mesothelioma (malignant, clinical disorder) (disorder)",109378008,254645002,Malignant mesothelioma of pleura (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<71400007|Mesothelium structure (body structure)|,116676008|Associated morphology (attribute)| = 62064005|Mesothelioma, malignant (morphologic abnormality)|})&limit=7000",8
Complete avulsion of tooth (disorder),109671008,109671008,Complete avulsion of tooth (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<302214001|Entire tooth (body structure)|,116676008|Associated morphology (attribute)| = 79782001|Dislocation, complete (morphologic abnormality)|} AND [1..1]{42752001|Due to (attribute)| = 773760007|Traumatic event (event)|} AND [1..1]{116676008|Associated morphology (attribute)| = 37782003|Damage (morphologic abnormality)|})&limit=7000",1
